"","names","count","count_percent","episode"
"1","nymeria",21,0.0500990051768972,1
"2","qyburn",2,0.00477133382637116,1
"3","sansa",2262,5.39637855762578,1
"4","jaqen",83,0.198010353794403,1
"5","tommen",90,0.214710022186702,1
"6","melisandre",8558,20.4165374430422,1
"7","cersei",1702,4.06040508624186,1
"8","olly",440,1.04969344180166,1
"9","hodor",722,1.72245151131999,1
"10","varys",204,0.486676050289858,1
"11","khaleesi",1315,3.13715199083904,1
"12","pod",296,0.706157406302932,1
"13","hound",112,0.267194694276785,1
"14","stannis",488,1.16420545363456,1
"15","littlefinger",252,0.601188062122766,1
"16","khal",522,1.24531812868287,1
"17","theon",772,1.84173485697927,1
"18","olenna",15,0.0357850036977837,1
"19","gregor",4,0.00954266765274232,1
"20","sparrow",130,0.310136698714126,1
"21","snow",9584,22.8642316959706,1
"22","oberyn",120,0.28628002958227,1
"23","gilly",113,0.269580361189971,1
"24","tywin",46,0.109740678006537,1
"25","daario",111,0.2648090273636,1
"26","alliser",85,0.202781687620774,1
"27","petr",3,0.00715700073955674,1
"28","daenerys",3852,9.18958894959086,1
"29","euron",25,0.0596416728296395,1
"30","eddard",42,0.100198010353794,1
"31","podrick",133,0.317293699453682,1
"32","shaggydog",3,0.00715700073955674,1
"33","ellaria",777,1.8536631915452,1
"34","obara",13,0.0310136698714126,1
"35","mountain",100,0.238566691318558,1
"36","brienne",1502,3.58327170360474,1
"37","samwell",149,0.355464370064652,1
"38","jorah",354,0.844526087267696,1
"39","blackfish",3,0.00715700073955674,1
"40","osha",14,0.0333993367845981,1
"41","joffrey",312,0.744328076913901,1
"42","meera",5,0.0119283345659279,1
"43","tyrion",1696,4.04609108476275,1
"44","margaery",134,0.319679366366868,1
"45","rickon",123,0.293437030321826,1
"46","roose",54,0.128826013312021,1
"47","loras",53,0.126440346398836,1
"48","ramsay",917,2.18765655939118,1
"49","yara",7,0.0166996683922991,1
"50","davos",455,1.08547844549944,1
"51","kevan",2,0.00477133382637116,1
"52","bronn",75,0.178925018488919,1
"53","bran",687,1.63895316935849,1
"54","tyene",6,0.0143140014791135,1
"55","arthur",9,0.0214710022186702,1
"56","jaime",654,1.56022616122337,1
"57","tormund",45,0.107355011093351,1
"58","arya",1534,3.65961304482668,1
"59","missandei",32,0.0763413412219386,1
"60","myrcella",98,0.233795357492187,1
"61","nymeria",25,0.0156304706647327,2
"62","qyburn",5,0.00312609413294653,2
"63","sansa",2936,1.8356424748662,2
"64","jaqen",172,0.107537638173361,2
"65","tommen",1698,1.06162156754864,2
"66","melisandre",20424,12.76946931426,2
"67","cersei",2112,1.32046216175661,2
"68","olly",1638,1.02410843795328,2
"69","hodor",6881,4.30213074576102,2
"70","varys",413,0.258215375381384,2
"71","khaleesi",375,0.23445705997099,2
"72","pod",284,0.177562146751363,2
"73","hound",114,0.0712749462311809,2
"74","stannis",358,0.223828339918972,2
"75","littlefinger",105,0.0656479767918772,2
"76","khal",326,0.203821337468114,2
"77","theon",2143,1.33984394538088,2
"78","olenna",8,0.00500175061271445,2
"79","gregor",29,0.0181313459710899,2
"80","sparrow",1128,0.705246836392737,2
"81","snow",64327,40.2184514580103,2
"82","oberyn",117,0.0731506027109488,2
"83","gilly",11,0.00687740709248237,2
"84","tywin",103,0.0643975391386985,2
"85","daario",19,0.0118791577051968,2
"86","alliser",1448,0.905316860901315,2
"87","petr",0,0,2
"88","daenerys",1253,0.783399189716401,2
"89","euron",817,0.510803781323463,2
"90","eddard",215,0.134422047716701,2
"91","podrick",49,0.030635722502876,2
"92","shaggydog",11,0.00687740709248237,2
"93","ellaria",31,0.0193817836242685,2
"94","obara",7,0.00437653178612514,2
"95","mountain",810,0.506427249537338,2
"96","brienne",657,0.410768769069174,2
"97","samwell",159,0.0994097934276997,2
"98","jorah",59,0.0368879107687691,2
"99","blackfish",3,0.00187565647976792,2
"100","osha",37,0.0231330965838043,2
"101","joffrey",4721,2.95165808032811,2
"102","meera",219,0.136922923023058,2
"103","tyrion",12369,7.73333166608313,2
"104","margaery",176,0.110038513479718,2
"105","rickon",335,0.209448306907418,2
"106","roose",1662,1.03911368979143,2
"107","loras",21,0.0131295953583754,2
"108","ramsay",14620,9.14069924473566,2
"109","yara",234,0.146301205421898,2
"110","davos",2552,1.59555844545591,2
"111","kevan",0,0,2
"112","bronn",56,0.0350122542890011,2
"113","bran",6088,3.8063322162757,2
"114","tyene",2,0.00125043765317861,2
"115","arthur",50,0.0312609413294653,2
"116","jaime",968,0.605211824138449,2
"117","tormund",354,0.221327464612614,2
"118","arya",3989,2.49399789926474,2
"119","missandei",101,0.0631471014855199,2
"120","myrcella",120,0.0750262591907167,2
"121","nymeria",883,0.903195450267992,3
"122","qyburn",217,0.221963094799722,3
"123","sansa",2558,2.61650505298474,3
"124","jaqen",125,0.127858925575877,3
"125","tommen",1799,1.84014565688802,3
"126","melisandre",2083,2.13064113579641,3
"127","cersei",1825,1.8667403134078,3
"128","olly",9787,10.0108424368888,3
"129","hodor",386,0.394828362178307,3
"130","varys",1777,1.81764248598666,3
"131","khaleesi",1353,1.38394501043329,3
"132","pod",79,0.080806840963954,3
"133","hound",147,0.150362096477231,3
"134","stannis",399,0.408125690438198,3
"135","littlefinger",159,0.162636553332515,3
"136","khal",796,0.814205638067182,3
"137","theon",205,0.209688637944438,3
"138","olenna",927,0.948201792070701,3
"139","gregor",297,0.303792807168283,3
"140","sparrow",697,0.712941369011088,3
"141","snow",22376,22.8877705494865,3
"142","oberyn",39,0.0398919847796735,3
"143","gilly",697,0.712941369011088,3
"144","tywin",134,0.13706476821734,3
"145","daario",29,0.0296632707336034,3
"146","alliser",431,0.440857575385623,3
"147","petr",0,0,3
"148","daenerys",3444,3.52276911746655,3
"149","euron",64,0.0654637698948488,3
"150","eddard",2031,2.07745182275684,3
"151","podrick",18,0.0184116852829262,3
"152","shaggydog",3642,3.72529765557874,3
"153","ellaria",10,0.0102287140460701,3
"154","obara",0,0,3
"155","mountain",314,0.321181621046602,3
"156","brienne",187,0.191276952661511,3
"157","samwell",125,0.127858925575877,3
"158","jorah",90,0.0920584264146311,3
"159","blackfish",2,0.00204574280921403,3
"160","osha",1149,1.17527924389346,3
"161","joffrey",1353,1.38394501043329,3
"162","meera",61,0.0623951556810278,3
"163","tyrion",3713,3.79792152530584,3
"164","margaery",189,0.193322695470725,3
"165","rickon",8768,8.96853647559429,3
"166","roose",74,0.0756924839409189,3
"167","loras",28,0.0286403993289964,3
"168","ramsay",5120,5.2371015915879,3
"169","yara",11,0.0112515854506771,3
"170","davos",1188,1.21517122867313,3
"171","kevan",87,0.0889898122008101,3
"172","bronn",78,0.079783969559347,3
"173","bran",4932,5.04480176752179,3
"174","tyene",0,0,3
"175","arthur",2098,2.14598420686551,3
"176","jaime",304,0.310952907000532,3
"177","tormund",1524,1.55885602062109,3
"178","arya",6675,6.82766662575181,3
"179","missandei",266,0.272083793625465,3
"180","myrcella",14,0.0143201996644982,3
"181","nymeria",13,0.00864488156512256,4
"182","qyburn",7,0.00465493622737369,4
"183","sansa",17378,11.5562116799,4
"184","jaqen",26,0.0172897631302451,4
"185","tommen",873,0.580537046642461,4
"186","melisandre",1441,0.958251871949354,4
"187","cersei",2577,1.71368152256314,4
"188","olly",212,0.14097806860046,4
"189","hodor",177,0.117703387463592,4
"190","varys",127,0.0844538429823511,4
"191","khaleesi",23320,15.5075875460506,4
"192","pod",60,0.0398994533774887,4
"193","hound",39,0.0259346446953677,4
"194","stannis",403,0.267991328518799,4
"195","littlefinger",743,0.494088230991235,4
"196","khal",1100,0.731489978587293,4
"197","theon",2858,1.90054396254771,4
"198","olenna",495,0.329170490364282,4
"199","gregor",11,0.00731489978587293,4
"200","sparrow",2417,1.60728298022317,4
"201","snow",11988,7.97191078482225,4
"202","oberyn",19,0.0126348269028714,4
"203","gilly",14,0.00930987245474737,4
"204","tywin",37,0.024604662916118,4
"205","daario",1384,0.92034739124074,4
"206","alliser",61,0.0405644442671135,4
"207","petr",2,0.00132998177924962,4
"208","daenerys",26896,17.8855949673489,4
"209","euron",36,0.0239396720264932,4
"210","eddard",132,0.0877787974304752,4
"211","podrick",60,0.0398994533774887,4
"212","shaggydog",43,0.0285946082538669,4
"213","ellaria",11,0.00731489978587293,4
"214","obara",0,0,4
"215","mountain",74,0.0492093258322361,4
"216","brienne",11896,7.91073162297676,4
"217","samwell",3,0.00199497266887444,4
"218","jorah",2585,1.71900144968014,4
"219","blackfish",3,0.00199497266887444,4
"220","osha",3714,2.46977616406655,4
"221","joffrey",1455,0.967561744404102,4
"222","meera",7,0.00465493622737369,4
"223","tyrion",4133,2.74840734681935,4
"224","margaery",1687,1.12183963079706,4
"225","rickon",1219,0.810623894452646,4
"226","roose",38,0.0252696538057429,4
"227","loras",1377,0.915692455013366,4
"228","ramsay",10435,6.93917993323492,4
"229","yara",593,0.394339597547514,4
"230","davos",512,0.340475335487904,4
"231","kevan",33,0.0219446993576188,4
"232","bronn",132,0.0877787974304752,4
"233","bran",1017,0.676295734748434,4
"234","tyene",0,0,4
"235","arthur",56,0.0372394898189895,4
"236","jaime",641,0.426259160249505,4
"237","tormund",11270,7.49444732607163,4
"238","arya",1773,1.17902884730479,4
"239","missandei",763,0.507388048783732,4
"240","myrcella",2,0.00132998177924962,4
